date,crop,mandi,price,rainfall_index,msp_floor
2015-01-01,Tomato,Delhi,2049,4.64,0
2015-01-01,Onion,Delhi,1784,5.15,0
2015-01-01,Potato,Delhi,1413,4.18,0
2015-01-01,Brinjal,Delhi,1781,5.85,0
2015-01-01,Cabbage,Delhi,1468,4.57,0
2015-01-01,Wheat,Delhi,2388,0.77,2275
2015-01-01,Rice,Lucknow,2803,2.7,2300
2015-01-01,Maize,Indore,2090,5.56,2090
2015-01-01,Bajra,Jaipur,2500,3.86,2500
2015-01-01,Jowar,Nagpur,3180,2.66,3180
2015-01-01,Tur Dal,Hyderabad,7000,1.36,7000
2015-01-01,Moong Dal,Bhopal,7819,0.38,7755
2015-01-01,Urad Dal,Kanpur,6950,4.97,6950
2015-01-01,Groundnut,Ahmedabad,6042,4.55,5850
2015-01-01,Soybean,Indore,4600,2.13,4600
2015-01-01,Mustard,Jaipur,5844,5.36,5650
2015-01-01,Cotton,Nagpur,7080,4.67,6620
2015-01-01,Sugarcane,Lucknow,3150,2.8,3150
2015-01-01,Tea,Guwahati,18016,0.26,0
2015-01-01,Coffee,Chikmagalur,13899,4.1,0
2015-01-02,Tomato,Delhi,1965,4.47,0
2015-01-02,Onion,Delhi,1946,1.95,0
2015-01-02,Potato,Delhi,1378,2.22,0
2015-01-02,Brinjal,Delhi,1896,1.14,0
2015-01-02,Cabbage,Delhi,1461,0.78,0
2015-01-02,Wheat,Delhi,2298,1.36,2275
2015-01-02,Rice,Lucknow,2938,4.02,2300
2015-01-02,Maize,Indore,2090,5.0,2090
2015-01-02,Bajra,Jaipur,2500,4.2,2500
2015-01-02,Jowar,Nagpur,3180,4.99,3180
2015-01-02,Tur Dal,Hyderabad,7108,4.83,7000
2015-01-02,Moong Dal,Bhopal,7772,1.73,7755
2015-01-02,Urad Dal,Kanpur,6950,4.09,6950
2015-01-02,Groundnut,Ahmedabad,5897,1.2,5850
2015-01-02,Soybean,Indore,4600,0.04,4600
2015-01-02,Mustard,Jaipur,5792,3.99,5650
2015-01-02,Cotton,Nagpur,6939,4.23,6620
2015-01-02,Sugarcane,Lucknow,3290,2.75,3150
2015-01-02,Tea,Guwahati,17867,3.41,0
2015-01-02,Coffee,Chikmagalur,13897,0.69,0
2015-01-03,Tomato,Delhi,2056,4.01,0
2015-01-03,Onion,Delhi,1801,3.39,0
2015-01-03,Potato,Delhi,1532,4.59,0
2015-01-03,Brinjal,Delhi,1950,3.32,0
2015-01-03,Cabbage,Delhi,1498,3.36,0
2015-01-03,Wheat,Delhi,2275,0.18,2275
2015-01-03,Rice,Lucknow,2954,2.62,2300
2015-01-03,Maize,Indore,2090,2.45,2090
2015-01-03,Bajra,Jaipur,2500,5.12,2500
2015-01-03,Jowar,Nagpur,3180,0.35,3180
2015-01-03,Tur Dal,Hyderabad,7135,1.69,7000
2015-01-03,Moong Dal,Bhopal,7755,3.97,7755
2015-01-03,Urad Dal,Kanpur,6950,3.34,6950
2015-01-03,Groundnut,Ahmedabad,6095,3.99,5850
2015-01-03,Soybean,Indore,4600,2.44,4600
2015-01-03,Mustard,Jaipur,5804,1.0,5650
2015-01-03,Cotton,Nagpur,6891,0.14,6620
2015-01-03,Sugarcane,Lucknow,3150,4.33,3150
2015-01-03,Tea,Guwahati,18075,2.77,0
2015-01-03,Coffee,Chikmagalur,13908,3.01,0
2015-01-04,Tomato,Delhi,2012,0.91,0
2015-01-04,Onion,Delhi,1871,2.68,0
2015-01-04,Potato,Delhi,1434,2.29,0
2015-01-04,Brinjal,Delhi,1853,3.78,0
2015-01-04,Cabbage,Delhi,1550,2.17,0
2015-01-04,Wheat,Delhi,2275,0.71,2275
2015-01-04,Rice,Lucknow,2772,5.77,2300
2015-01-04,Maize,Indore,2235,4.2,2090
2015-01-04,Bajra,Jaipur,2500,1.6,2500
2015-01-04,Jowar,Nagpur,3180,4.67,3180
2015-01-04,Tur Dal,Hyderabad,7099,4.3,7000
2015-01-04,Moong Dal,Bhopal,7797,1.63,7755
2015-01-04,Urad Dal,Kanpur,6950,0.58,6950
2015-01-04,Groundnut,Ahmedabad,6133,2.73,5850
2015-01-04,Soybean,Indore,4600,1.21,4600
2015-01-04,Mustard,Jaipur,5654,3.48,5650
2015-01-04,Cotton,Nagpur,7001,1.06,6620
2015-01-04,Sugarcane,Lucknow,3319,4.55,3150
2015-01-04,Tea,Guwahati,18061,4.32,0
2015-01-04,Coffee,Chikmagalur,13992,3.76,0
2015-01-05,Tomato,Delhi,1895,3.5,0
2015-01-05,Onion,Delhi,1861,0.51,0
2015-01-05,Potato,Delhi,1603,2.49,0
2015-01-05,Brinjal,Delhi,1779,2.96,0
2015-01-05,Cabbage,Delhi,1465,1.98,0
2015-01-05,Wheat,Delhi,2275,0.62,2275
2015-01-05,Rice,Lucknow,2905,3.53,2300
2015-01-05,Maize,Indore,2090,5.55,2090
2015-01-05,Bajra,Jaipur,2500,3.49,2500
2015-01-05,Jowar,Nagpur,3180,3.55,3180
2015-01-05,Tur Dal,Hyderabad,7000,0.14,7000
2015-01-05,Moong Dal,Bhopal,7954,2.89,7755
2015-01-05,Urad Dal,Kanpur,6950,4.7,6950
2015-01-05,Groundnut,Ahmedabad,5891,2.92,5850
2015-01-05,Soybean,Indore,4600,2.94,4600
2015-01-05,Mustard,Jaipur,5848,3.43,5650
2015-01-05,Cotton,Nagpur,7109,2.84,6620
2015-01-05,Sugarcane,Lucknow,3150,1.99,3150
2015-01-05,Tea,Guwahati,18121,3.12,0
2015-01-05,Coffee,Chikmagalur,13998,0.13,0
2015-01-06,Tomato,Delhi,1872,4.96,0
2015-01-06,Onion,Delhi,1938,0.84,0
2015-01-06,Potato,Delhi,1464,3.32,0
2015-01-06,Brinjal,Delhi,1802,4.03,0
2015-01-06,Cabbage,Delhi,1343,1.69,0
2015-01-06,Wheat,Delhi,2367,4.36,2275
2015-01-06,Rice,Lucknow,2766,4.61,2300
2015-01-06,Maize,Indore,2090,5.5,2090
2015-01-06,Bajra,Jaipur,2500,1.38,2500
2015-01-06,Jowar,Nagpur,3180,3.33,3180
2015-01-06,Tur Dal,Hyderabad,7000,2.23,7000
2015-01-06,Moong Dal,Bhopal,7918,4.85,7755
2015-01-06,Urad Dal,Kanpur,6950,1.9,6950
2015-01-06,Groundnut,Ahmedabad,6155,1.75,5850
2015-01-06,Soybean,Indore,4641,3.09,4600
2015-01-06,Mustard,Jaipur,5650,5.62,5650
2015-01-06,Cotton,Nagpur,7029,0.99,6620
2015-01-06,Sugarcane,Lucknow,3150,2.61,3150
2015-01-06,Tea,Guwahati,17915,5.95,0
2015-01-06,Coffee,Chikmagalur,14137,4.49,0
2015-01-07,Tomato,Delhi,1941,5.34,0
2015-01-07,Onion,Delhi,1942,3.11,0
2015-01-07,Potato,Delhi,1380,1.9,0
2015-01-07,Brinjal,Delhi,2005,3.97,0
2015-01-07,Cabbage,Delhi,1539,2.24,0
2015-01-07,Wheat,Delhi,2275,4.48,2275
2015-01-07,Rice,Lucknow,2675,1.57,2300
2015-01-07,Maize,Indore,2255,1.45,2090
2015-01-07,Bajra,Jaipur,2500,0.74,2500
2015-01-07,Jowar,Nagpur,3180,0.92,3180
2015-01-07,Tur Dal,Hyderabad,7000,1.08,7000
2015-01-07,Moong Dal,Bhopal,7853,5.25,7755
2015-01-07,Urad Dal,Kanpur,6950,1.18,6950
2015-01-07,Groundnut,Ahmedabad,5967,4.66,5850
2015-01-07,Soybean,Indore,4600,5.83,4600
2015-01-07,Mustard,Jaipur,5724,0.86,5650
2015-01-07,Cotton,Nagpur,6926,0.08,6620
2015-01-07,Sugarcane,Lucknow,3150,0.79,3150
2015-01-07,Tea,Guwahati,18164,4.07,0
2015-01-07,Coffee,Chikmagalur,13910,3.04,0
2015-01-08,Tomato,Delhi,2106,4.17,0
2015-01-08,Onion,Delhi,1851,1.2,0
2015-01-08,Potato,Delhi,1384,4.82,0
2015-01-08,Brinjal,Delhi,1991,4.43,0
2015-01-08,Cabbage,Delhi,1407,0.79,0
2015-01-08,Wheat,Delhi,2275,5.57,2275
2015-01-08,Rice,Lucknow,2968,2.39,2300
2015-01-08,Maize,Indore,2090,2.93,2090
2015-01-08,Bajra,Jaipur,2500,3.98,2500
2015-01-08,Jowar,Nagpur,3180,1.72,3180
2015-01-08,Tur Dal,Hyderabad,7026,5.55,7000
2015-01-08,Moong Dal,Bhopal,7755,3.33,7755
2015-01-08,Urad Dal,Kanpur,6950,3.8,6950
2015-01-08,Groundnut,Ahmedabad,5908,0.84,5850
2015-01-08,Soybean,Indore,4600,2.51,4600
2015-01-08,Mustard,Jaipur,5866,3.58,5650
2015-01-08,Cotton,Nagpur,7098,5.6,6620
2015-01-08,Sugarcane,Lucknow,3318,2.8,3150
2015-01-08,Tea,Guwahati,18131,4.71,0
2015-01-08,Coffee,Chikmagalur,13882,0.65,0
2015-01-09,Tomato,Delhi,1955,4.98,0
2015-01-09,Onion,Delhi,1919,1.4,0
2015-01-09,Potato,Delhi,1609,3.18,0
2015-01-09,Brinjal,Delhi,1961,5.21,0
2015-01-09,Cabbage,Delhi,1366,3.62,0
2015-01-09,Wheat,Delhi,2303,2.25,2275
2015-01-09,Rice,Lucknow,2714,2.56,2300
2015-01-09,Maize,Indore,2175,5.2,2090
2015-01-09,Bajra,Jaipur,2500,2.72,2500
2015-01-09,Jowar,Nagpur,3180,1.42,3180
2015-01-09,Tur Dal,Hyderabad,7132,4.48,7000
2015-01-09,Moong Dal,Bhopal,7924,0.63,7755
2015-01-09,Urad Dal,Kanpur,6950,0.4,6950
2015-01-09,Groundnut,Ahmedabad,6058,0.88,5850
2015-01-09,Soybean,Indore,4600,4.95,4600
2015-01-09,Mustard,Jaipur,5673,0.86,5650
2015-01-09,Cotton,Nagpur,7059,5.53,6620
2015-01-09,Sugarcane,Lucknow,3150,1.71,3150
2015-01-09,Tea,Guwahati,18016,0.92,0
